date,equity,cash,invested,drawdown
2026-08-16,99963.26,26500.00,73463.26,-0.000367
2026-08-17,100683.01,26500.00,74183.01,0.000000
2026-08-18,96817.40,26500.00,70317.40,-0.038394
2026-08-19,95293.85,26500.00,68793.85,-0.053526
2026-08-20,95926.54,26500.00,69426.54,-0.047242
2026-08-21,95822.82,26500.00,69322.82,-0.048272
2026-08-24,93700.77,26500.00,67200.77,-0.069349
2026-08-25,95116.87,26500.00,68616.87,-0.055284
2026-08-26,95116.87,26500.00,68616.87,-0.055284
2026-08-27,95419.25,26500.00,68919.25,-0.052281
2026-08-28,97317.15,26500.00,70817.15,-0.033430
2026-08-29,95349.01,26500.00,68849.01,-0.052978
2026-09-01,94971.19,26500.00,68471.19,-0.056731
2026-09-02,95609.15,26500.00,69109.15,-0.050394
2026-09-03,95777.65,26500.00,69277.65,-0.048721
2026-09-04,98449.87,26500.00,71949.87,-0.022180
2026-09-07,98449.99,26500.00,71949.99,-0.022179
2026-09-08,99226.61,26500.00,72726.61,-0.014465
2026-09-09,99015.64,26500.00,72515.64,-0.016561
2026-09-10,96758.18,26500.00,70258.18,-0.038982
2026-09-11,97561.34,26500.00,71061.34,-0.031005
2026-09-13,97561.34,26500.00,71061.34,-0.031005
2026-09-14,93340.49,30492.15,62848.34,-0.072927
