date,equity,cash,invested,drawdown
2026-08-16,99996.00,91999.99,7996.01,-0.000040
2026-08-17,101200.99,91999.99,9201.00,0.000000
2026-08-18,100033.61,91999.99,8033.62,-0.011535
2026-08-19,99875.87,91999.99,7875.88,-0.013094
2026-08-20,99662.62,91999.99,7662.63,-0.015201
2026-08-21,99161.64,91999.99,7161.65,-0.020151
2026-08-24,98770.93,91999.99,6770.94,-0.024012
2026-08-25,98715.61,91999.99,6715.62,-0.024559
2026-08-26,98715.61,91999.99,6715.62,-0.024559
2026-08-27,98651.16,91999.99,6651.17,-0.025196
2026-08-28,98816.21,91999.99,6816.22,-0.023565
2026-08-29,98539.06,91999.99,6539.07,-0.026303
2026-09-01,98303.17,91999.99,6303.18,-0.028634
2026-09-02,98737.70,91999.99,6737.71,-0.024341
2026-09-03,98953.87,91999.99,6953.88,-0.022205
2026-09-04,99669.92,91999.99,7669.93,-0.015129
2026-09-07,99669.92,91999.99,7669.93,-0.015129
2026-09-08,99294.55,91999.99,7294.56,-0.018838
2026-09-09,99164.19,91999.99,7164.20,-0.020126
2026-09-10,98986.73,91999.99,6986.74,-0.021880
2026-09-11,99008.28,91999.99,7008.29,-0.021667
2026-09-13,99008.28,91999.99,7008.29,-0.021667
2026-09-14,98616.84,91999.99,6616.85,-0.025535
2026-09-15,98719.81,91999.99,6719.82,-0.024517
2026-09-16,98954.96,91999.99,6954.97,-0.022194
2026-09-17,99088.97,91999.99,7088.98,-0.020870
2026-09-18,99243.43,91999.99,7243.44,-0.019343
2026-09-22,99756.10,91999.99,7756.11,-0.014277
2026-09-23,99494.29,91999.99,7494.30,-0.016864
2026-09-24,99537.01,91999.99,7537.02,-0.016442
